catchment_id,outfall_arc,PB,RMSE,NSE,KGE,R2
GB108045014840,node_11323-to-node_11322,84.79930109,2.737785099,-31.13604323,-0.406709357,0.001912677
GB108045014820,node_11024-to-node_11025,88.42039411,5.521773104,-31.09010048,-0.291689209,0.040503545
GB108043022490,node_3725-to-node_9079,93.48589617,6.231720804,-31.06215245,-0.508668886,0.005607799
GB108044010130,node_10926-to-node_10925,93.05999853,9.050068434,-31.06127737,-0.727340141,0.062711992
GB104028053410,node_3056-to-node_3057,94.30945358,9.696041884,-31.03217439,-0.502216184,0.023519768
GB111067051600,node_16111-to-node_16112,90.51067385,2.865895592,-30.99104307,-0.77913127,0.111959173
GB104028057820,node_5449-to-node_2720,81.5737742,3.12737727,-30.84668542,-0.435951566,0.013819621
GB107041012370,node_12610-to-node_12609,94.92234886,5.931375116,-30.83371842,-0.602712864,0.004405576
GB106039023600,node_10853-to-node_10854,73.29790771,6.147179135,-30.56197662,-0.52544563,0.105239714
GB108047003660,node_11472-to-node_11473,-41.33129806,0.184531326,-30.44937448,-2.783066753,0.126540336
GB108045015000,node_11491-to-node_11492,88.02603007,2.471981023,-30.38460875,-0.425757977,0.00066076
GB104028052390,node_3929-to-node_2715,84.21677379,2.367778559,-30.21690656,-0.446977562,0.004462067
GB108048002250,node_8822-to-node_8823,96.82502983,7.684623449,-30.13498109,-0.627656497,0.000114846
GB112068055220,node_15165-to-node_15166,97.17412281,9.532440468,-30.08487734,-0.688350904,0.009290331
GB104028053370,node_3427-to-node_3425,97.16552215,10.55663421,-30.02471478,-0.65656364,0.000607252
GB106040018170,node_8668-to-node_8669,-434.3197147,9.569659574,-29.84074825,-3.997863408,0.038718364
GB108050020020,node_8057-to-node_8058,92.64488189,5.369817833,-29.57282112,-0.402743335,0.054533038
GB108051020550,node_11641-to-node_11642,88.35825561,3.546492121,-29.45230751,-0.24290642,0.134248982
GB109053022050,node_12412-to-node_12413,95.01970066,5.732030787,-29.41362443,-0.461674724,0.035363234
GB103025072480,node_2601-to-node_2602,-128.8195538,0.416243788,-28.83678628,-2.139387005,0.031339231
GB108044010080,node_10917-to-node_10798,90.69171699,6.352348987,-28.82901357,-0.598063649,0.018319151
GB105033037680,node_5518-to-node_5519,-186.8919753,8.308864294,-28.65240018,-1.851722828,0.067437794
GB104028047220,node_4298-to-node_3162,94.02637634,6.613664122,-28.24610187,-0.455176896,0.024410064
GB104027068370,node_3494-to-node_815,90.8617007,3.035100237,-28.23139242,-0.694689454,0.046073675
GB104028058170,node_7176-to-node_7177,86.75067134,13.49061408,-28.08850637,-0.243709726,0.108495352
